"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL47";"VITAMIN E";"0";"430.72";"1";"8.84";"ALPHA-TOCOPHEROL";"Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909109";"DRUGMATRIX: Transporter, Serotonin (5-Hydroxytryptamine) (SERT) radioligand binding (ligand: [3H] Paroxetine)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"HEK293";"Membrane";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307715";""
"CHEMBL190";"THEOPHYLLINE";"4";"180.17";"0";"-1.04";"Theophylline";"Cn1c(=O)c2nc[nH]c2n(C)c1=O";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909109";"DRUGMATRIX: Transporter, Serotonin (5-Hydroxytryptamine) (SERT) radioligand binding (ligand: [3H] Paroxetine)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"HEK293";"Membrane";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307715";""
"CHEMBL1568";"FLUDARABINE";"0";"285.24";"0";"-1.84";"FLUDARABINE";"Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909109";"DRUGMATRIX: Transporter, Serotonin (5-Hydroxytryptamine) (SERT) radioligand binding (ligand: [3H] Paroxetine)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"HEK293";"Membrane";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307715";""
"CHEMBL490204";"";"0";"287.43";"0";"4.57";"7";"CSc1ccc(Oc2ccc(C)cc2CN(C)C)cc1";"IC50";"'='";"5.0";"nM";"8.30";"";"";"UO_0000065";"28.88";"0.57";"3.73";"66.57";"False";"CHEMBL987973";"Inhibition of [3H]5HT reuptake at human serotonin transporter expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144206";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"CHEMBL3307715";""
"CHEMBL1200623";"ETHYLESTRENOL";"4";"288.48";"1";"5.09";"ETHYLESTRENOL";"CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C";"IC50";"'='";"81.0";"nM";"7.09";"";"";"UO_0000065";"24.58";"0.46";"2.00";"35.05";"False";"CHEMBL1909109";"DRUGMATRIX: Transporter, Serotonin (5-Hydroxytryptamine) (SERT) radioligand binding (ligand: [3H] Paroxetine)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"HEK293";"Membrane";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307715";""
"CHEMBL565396";"";"0";"284.20";"0";"3.41";"1d";"CC(NC(C)(C)C)C(=O)c1cccc(Br)c1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL1041762";"Inhibition of [3H]serotonin reuptake at human SERT expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156106";"1";"Scientific Literature";"J. Med. Chem.";"2009";"CHEMBL3307715";""
"CHEMBL3703736";"";"0";"372.26";"0";"3.77";"BDBM159335";"O=c1cccnn1-c1ccc2c(c1)CNCC2c1ccc(Cl)c(Cl)c1";"IC50";"'='";"6.1";"nM";"8.21";"";"302050";"UO_0000065";"22.07";"0.45";"4.44";"17.51";"False";"CHEMBL3705436";"Radioligand Binding Assay: Compounds were dissolved in 100% DMSO at a concentration 100 times the desired highest assay concentration, serially diluted 1:3 in 100% DMSO, and 0.4 ul/well of each solution was dispensed to a Nunc polypropylene, round bottom, 384-well plate. 100% inhibition is defined with 0.4 ul/well of 1 mM fluoxetine dissolved in DMSO. 20 ul/well of a 2x membrane preparation (15 ug/ml in 50 mM Tris-Cl, pH 7.5, 120 mM NaCl, 5 mM KCl) and 20 ul/well of a 2x radioligand solution (520 pM [125I]RTI-55 in 50 mM Tris-Cl, pH 7.5, 120 mM NaCl, 5 mM KCl) were added to each well and the reaction incubated for 1 hour at room temperature. The contents of the assay plate were then transferred to a Millipore MultiscreenHTS GF/B filter plate which was pretreated with 0.5% PEI for at least one hour. The plate was vacuum filtered and washed with 7 washes of 100 ul/well 50 mM Tris-Cl, pH 7.5, 120 mM NaCl, 5 mM KCl chilled to 4 C.";"B";"BAO_0000249";"cell membrane format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639176";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL1644470";"";"0";"280.37";"0";"3.41";"1";"c1ccc(-c2cccc(O[C@H]3C[C@@H]4CC[C@H](C3)N4)n2)cc1";"IC50";"'='";"7644.0";"nM";"5.12";"";"";"UO_0000065";"18.25";"0.33";"1.71";"14.98";"False";"CHEMBL1647513";"Inhibition of [3H]serotonin reuptake at SERT expressed in HEK293 cells scintillation counting";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641536";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";"CHEMBL3307715";""
"CHEMBL576170";"";"0";"298.36";"0";"2.95";"12";"CNC[C@@H](O)[C@H](c1cccc(F)c1)n1ccc2ccccc21";"IC50";"'='";"441.0";"nM";"6.36";"";"";"UO_0000065";"21.30";"0.39";"3.41";"17.09";"False";"CHEMBL1044081";"Inhibition of human SERT expressed in JAR cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"JAR";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155200";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"CHEMBL3307657";""
"CHEMBL561332";"";"0";"547.74";"2";"5.90";"2j";"COc1ccc([C@@H](C)N[C@@H]2CC[C@@H](C(=O)N3CCC(c4ccccc4)(N4CCCOC4=O)CC3)C(C)(C)C2)cc1";"IC50";"'='";"17.0";"nM";"7.77";"";"";"UO_0000065";"14.18";"0.27";"1.87";"10.93";"False";"CHEMBL1053230";"Displacement of [3H]imipramine from human serotonin transporter expressed in CHO cell membrane by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153458";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"CHEMBL3308072";""
"CHEMBL103504";"";"0";"285.43";"0";"3.48";"15";"CCC[C@@]1(O)CN2C3CC[C@@H]2C[C@H](c2ccc(C)cc2)C31";"IC50";"'='";"41.0";"nM";"7.39";"";"";"UO_0000065";"25.88";"0.48";"3.91";"31.48";"False";"CHEMBL817286";"The compound was tested for inhibition of [3H]-5-hydroxy tryptamine uptake in HEK cells by expressing cDNA for human tryptamine transporter";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133495";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2000";"CHEMBL3307715";""
"CHEMBL577825";"";"0";"294.40";"0";"3.12";"15";"CNC[C@@H](O)[C@H](c1cccc(C)c1)n1ccc2ccccc21";"IC50";"'='";"377.0";"nM";"6.42";"";"";"UO_0000065";"21.82";"0.40";"3.30";"17.27";"False";"CHEMBL1044081";"Inhibition of human SERT expressed in JAR cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"JAR";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155200";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"CHEMBL3307657";""
"CHEMBL2103747";"ACONITINE";"0";"645.75";"2";"0.65";"1";"CCN1C[C@@]2(COC)[C@H]3[C@@H](OC)[C@H]4[C@H]1[C@]3([C@H](OC)C[C@H]2O)[C@@H]1C[C@]2(O)[C@@H](OC)[C@H](O)[C@@]4(OC(C)=O)[C@H]1[C@H]2OC(=O)c1ccccc1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909109";"DRUGMATRIX: Transporter, Serotonin (5-Hydroxytryptamine) (SERT) radioligand binding (ligand: [3H] Paroxetine)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"HEK293";"Membrane";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307715";""
"CHEMBL505091";"";"0";"316.62";"1";"5.16";"58";"CNCc1cc(Cl)ccc1Oc1ccc(Cl)c(Cl)c1";"IC50";"'='";"5.73";"nM";"8.24";"";"";"UO_0000065";"26.03";"0.59";"3.08";"38.77";"False";"CHEMBL962307";"Inhibition of serotonin reuptake at SERT";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152152";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL192";"SILDENAFIL";"4";"474.59";"0";"1.61";"SILDENAFIL";"CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909109";"DRUGMATRIX: Transporter, Serotonin (5-Hydroxytryptamine) (SERT) radioligand binding (ligand: [3H] Paroxetine)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"HEK293";"Membrane";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307715";""
"CHEMBL383427";"";"0";"373.29";"0";"4.76";"26";"CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(-n3cncn3)cc21";"IC50";"'='";"4.0";"nM";"8.40";"";"";"UO_0000065";"22.50";"0.46";"3.64";"19.65";"False";"CHEMBL862304";"Inhibition of serotonin re-uptake at human serotonin transporter expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139648";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"CHEMBL3307715";""
"CHEMBL398440";"CHLOROXYLENOL";"4";"156.61";"0";"2.66";"CHLOROXYLENOL";"Cc1cc(O)cc(C)c1Cl";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909109";"DRUGMATRIX: Transporter, Serotonin (5-Hydroxytryptamine) (SERT) radioligand binding (ligand: [3H] Paroxetine)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"HEK293";"Membrane";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307715";""
"CHEMBL1766";"DESOXIMETASONE";"4";"376.47";"0";"2.78";"DESOXIMETASONE";"C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909109";"DRUGMATRIX: Transporter, Serotonin (5-Hydroxytryptamine) (SERT) radioligand binding (ligand: [3H] Paroxetine)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"HEK293";"Membrane";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307715";""
"CHEMBL390432";"";"0";"265.36";"0";"3.54";"6a";"CN(C)C1CC=C(c2c[nH]c3ccc(C#N)cc23)CC1";"IC50";"'='";"1.6";"nM";"8.80";"";"";"UO_0000065";"33.15";"0.60";"5.26";"20.54";"False";"CHEMBL893718";"Displacement of [3H]citalopram from human SERT expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147933";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"CHEMBL3307715";""
"CHEMBL2391541";"";"0";"270.38";"0";"3.39";"18, 5-MeO-DALT";"C=CCN(CC=C)CCc1c[nH]c2ccc(OC)cc12";"IC50";"'='";"8709.64";"nM";"5.06";"";"";"UO_0000065";"18.71";"0.35";"1.67";"17.91";"False";"CHEMBL2393681";"Inhibition of [3H]5-HT uptake at human SERT expressed in HEK293 cells preincubated for 10 mins prior to substrate addition measured after 4 mins by FLIPR assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2390840";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2013";"CHEMBL3307715";""
"CHEMBL657";"DIPHENHYDRAMINE";"4";"255.36";"0";"3.35";"SID11111059";"CN(C)CCOC(c1ccccc1)c1ccccc1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909109";"DRUGMATRIX: Transporter, Serotonin (5-Hydroxytryptamine) (SERT) radioligand binding (ligand: [3H] Paroxetine)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"HEK293";"Membrane";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307715";""
"CHEMBL1644479";"";"0";"217.31";"0";"2.66";"10i";"Cc1cccc(O[C@H]2C[C@@H]3CC[C@H](C2)N3)c1";"IC50";"'='";"624.0";"nM";"6.21";"";"";"UO_0000065";"28.55";"0.53";"3.54";"29.19";"False";"CHEMBL1647513";"Inhibition of [3H]serotonin reuptake at SERT expressed in HEK293 cells scintillation counting";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641536";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";"CHEMBL3307715";""
"CHEMBL3696475";"MK-7145";"1";"466.53";"0";"2.03";"[3H]-12";"Cc1c([C@@H](O)CN2CCN(C[C@H](O)c3ccc4c(c3C)COC4=O)CC2)ccc2c1COC2=O";"IC50";"'='";"2400.0";"nM";"5.62";"";"";"UO_0000065";"12.05";"0.23";"3.59";"5.65";"False";"CHEMBL4427532";"Inhibition of [3H]-serotonin uptake at human SERT transfected in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4425169";"1";"Scientific Literature";"ACS Med Chem Lett";"2016";"CHEMBL3307715";""
"CHEMBL1641622";"";"0";"293.20";"0";"4.01";"21";"N[C@H]1Cc2ccccc2N(c2ccc(Cl)c(Cl)c2)C1";"IC50";"'='";"2400.0";"nM";"5.62";"";"";"UO_0000065";"19.17";"0.40";"1.61";"19.21";"False";"CHEMBL1647931";"Inhibition of human recombinant 5HT transporter";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641425";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";"None";""
"CHEMBL484747";"";"0";"457.98";"0";"4.20";"(-)-35e";"Cl.NC(=O)c1cccc2c1CC(N(CCCc1c[nH]c3ccc(F)cc13)C1CCC1)CO2";"IC50";"'='";"109.0";"nM";"6.96";"";"";"UO_0000065";"16.52";"0.31";"2.76";"9.76";"False";"CHEMBL984526";"Inhibition of 5-HT transporter-mediated [3H]5HT uptake in human Jar cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"JAR";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142498";"1";"Scientific Literature";"J. Med. Chem.";"2008";"CHEMBL3307657";""
"CHEMBL483573";"";"0";"455.96";"0";"4.85";"52c";"NC(=O)c1ccc(F)c2c1CC(N(CCCc1c[nH]c3ccc(Cl)cc13)C1CCC1)CO2";"IC50";"'='";"612.0";"nM";"6.21";"";"";"UO_0000065";"13.63";"0.27";"1.36";"8.71";"False";"CHEMBL984526";"Inhibition of 5-HT transporter-mediated [3H]5HT uptake in human Jar cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"JAR";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142498";"1";"Scientific Literature";"J. Med. Chem.";"2008";"CHEMBL3307657";""
"CHEMBL485624";"";"0";"455.96";"0";"4.85";"52f";"NC(=O)c1ccc(F)c2c1CC(N(CCCc1c[nH]c3c(Cl)cccc13)C1CCC1)CO2";"IC50";"'>'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL984526";"Inhibition of 5-HT transporter-mediated [3H]5HT uptake in human Jar cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"JAR";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142498";"1";"Scientific Literature";"J. Med. Chem.";"2008";"CHEMBL3307657";""
"CHEMBL485625";"";"0";"457.50";"0";"4.47";"(+)-52g";"NC(=O)c1ccc(F)c2c1CC(N(CCCc1c[nH]c3c(F)cc(F)cc13)C1CCC1)CO2";"IC50";"'='";"225.0";"nM";"6.65";"";"";"UO_0000065";"14.53";"0.28";"2.18";"9.32";"False";"CHEMBL984526";"Inhibition of 5-HT transporter-mediated [3H]5HT uptake in human Jar cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"JAR";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142498";"1";"Scientific Literature";"J. Med. Chem.";"2008";"CHEMBL3307657";""
"CHEMBL370805";"COCAINE";"4";"303.36";"0";"1.87";"cocaine";"COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C";"IC50";"'='";"416.0";"nM";"6.38";"";"";"UO_0000065";"21.03";"0.40";"4.51";"11.43";"True";"CHEMBL1011738";"Inhibition of [3H]5HT from human recombinant SERT expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139269";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2009";"CHEMBL3307715";""
"CHEMBL443952";"";"0";"283.37";"0";"3.23";"8-II";"CNC[C@@H]1OCc2ccccc2[C@H]1Oc1ccccc1C";"IC50";"'='";"2700.0";"nM";"5.57";"";"";"UO_0000065";"19.65";"0.36";"2.34";"18.26";"False";"CHEMBL998746";"Inhibition of serotonin uptake at human SERT expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156588";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"CHEMBL3307715";""
"CHEMBL141343";"";"0";"520.72";"1";"4.21";"U-78517F";"Cc1c(C)c2c(c(C)c1O)CCC(C)(CN1CCN(c3cc(N4CCCC4)nc(N4CCCC4)n3)CC1)O2";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909109";"DRUGMATRIX: Transporter, Serotonin (5-Hydroxytryptamine) (SERT) radioligand binding (ligand: [3H] Paroxetine)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"HEK293";"Membrane";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307715";""
"CHEMBL1643655";"";"0";"364.31";"1";"5.28";"5d";"Cc1cc([C@@H]2C3CCC(C[C@H]2c2ccc(Br)cc2)S3)on1";"IC50";"'>'";"4000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1648598";"Displacement of [3H]citalopram from human SERT expressed in HEK293 cell membrane";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641369";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";"CHEMBL3307715";""
"CHEMBL1643659";"";"0";"381.93";"1";"6.53";"5h";"Clc1ccc([C@@H]2CC3CCC(S3)C2c2cc(-c3ccccc3)no2)cc1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1648598";"Displacement of [3H]citalopram from human SERT expressed in HEK293 cell membrane";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641369";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";"CHEMBL3307715";""
"CHEMBL41";"FLUOXETINE";"4";"309.33";"0";"4.44";"fluoxetine";"CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1";"IC50";"'='";"32.4";"nM";"7.49";"";"";"UO_0000065";"24.21";"0.46";"3.05";"35.23";"False";"CHEMBL806211";"Inhibition concentration against [3H]5-HT uptake by human serotonin transporter in JAR cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"JAR";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148370";"1";"Scientific Literature";"J. Med. Chem.";"2004";"CHEMBL3307657";""
"CHEMBL562248";"";"0";"411.51";"0";"4.95";"1, SSA-426";"Cc1ccc2c3c(ccc2n1)OC[C@H](CN1CC=C(c2c[nH]c4ccccc24)CC1)O3";"IC50";"'='";"145.0";"nM";"6.84";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1060392";"Antagonist activity at human 5HT transporter expressed in staurosporine treated human JAR cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"JAR";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151947";"1";"Scientific Literature";"J. Med. Chem.";"2009";"CHEMBL3307657";""
"CHEMBL214056";"";"0";"335.28";"0";"4.18";"7";"Clc1cccc(CC(c2ccccc2)N2CCNCC2)c1Cl";"IC50";"'='";"3.9";"nM";"8.41";"";"";"UO_0000065";"25.08";"0.52";"4.23";"55.07";"False";"CHEMBL863612";"Inhibition of [3H]5-HT reuptake at 5HT transporter in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145304";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"CHEMBL3307715";""
"CHEMBL378319";"";"0";"301.82";"0";"2.92";"11";"Clc1ccccc1CC(c1cccnc1)N1CCNCC1";"IC50";"'='";"14.0";"nM";"7.85";"";"";"UO_0000065";"26.02";"0.51";"4.93";"27.89";"False";"CHEMBL863612";"Inhibition of [3H]5-HT reuptake at 5HT transporter in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145304";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"CHEMBL3307715";""
"CHEMBL9831";"";"0";"353.46";"0";"4.02";"49";"COc1cccc2c1CCCC2CN(C)CCc1ccc2c(c1)OCO2";"IC50";"'='";"21.0";"nM";"7.68";"";"";"UO_0000065";"21.72";"0.40";"3.66";"24.82";"False";"CHEMBL882908";"Inhibitory concentration against serotonin transporter";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140446";"1";"Scientific Literature";"J. Med. Chem.";"2005";"None";""
"CHEMBL180630";"";"0";"227.31";"0";"2.53";"1c";"CN(C)CCCc1c[nH]c2ccc(C#N)cc12";"IC50";"'='";"2.0";"nM";"8.70";"";"";"UO_0000065";"38.27";"0.70";"6.17";"20.32";"True";"CHEMBL940969";"Inhibition of human SERT";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139814";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
